delta,theta,alpha,beta,op

-0.380,-0.780,-0.650,-0.715
,1
-0.060,-1.054,-1.625,-1.773,1


-0.099,-0.942,-1.241,-1.490,1
-0.218,-0.749,-0.846,-1.129,1
-0.200,-0.820,-0.846,-1.123,2
-0.111,-0.755,-1.495,-1.752,2
-0.373,-1.169,-0.968,-0.397,5
-0.217,-1.424,-0.839,-0.677,5
-0.089,-1.255,-1.425,-1.037,5
-0.182,-1.449,-1.259,-0.600,5
-0.382,-0.989,-0.847,-0.469,5
-0.101,-1.222,-1.546,-0.923,5
-0.144,-1.210,-1.257,-0.784,5
-0.064,-1.388,-1.290,-1.346,1
-0.099,-0.880,-1.289,-1.692,2
-0.156,-0.926,-1.054,-1.024,1
-0.021,-1.555,-2.047,-1.957,3
-0.022,-1.797,-1.739,-1.801,3
-0.017,-1.654,-1.969,-2.220,3
-0.072,-1.010,-1.554,-1.572,3
-0.032,-1.690,-1.593,-1.617,3
-0.064,-1.248,-1.385,-1.399,3
-0.118,-0.960,-1.080,-1.349,4
-0.015,-1.590,-2.414,-2.299,4
-0.296,-0.953,-0.673,-0.770,4
-0.087,-1.023,-1.322,-1.413,4
-0.016,-1.501,-2.463,-2.853,4
-0.060,-1.419,-1.286,-1.401,4
-0.176,-1.037,-0.905,-0.932,4
-0.027,-2.014,-1.703,-1.513,4
-0.039,-1.688,-1.496,-1.465,1
-0.068,-1.544,-1.173,-1.312,1
-0.073,-1.351,-1.214,-1.308,1
-0.017,-1.484,-2.440,-2.813,1
-0.034,-1.572,-1.667,-1.568,1
-0.071,-1.162,-1.387,-1.386,1
-0.011,-1.914,-2.272,-2.128,1
-0.052,-1.053,-1.731,-2.219,1
-0.130,-0.885,-1.160,-1.231,1
-0.119,-1.188,-1.151,-0.983,1
-0.099,-1.192,-1.269,-1.063,1
-0.171,-1.280,-0.886,-0.843,1
-0.059,-1.604,-1.370,-1.223,1
-0.244,-1.084,-0.782,-0.740,1
-0.042,-1.096,-2.035,-2.600,1
-0.154,-0.865,-1.109,-1.075,1
-0.128,-1.311,-1.026,-0.951,2
-0.141,-1.237,-0.973,-0.948,2
-0.072,-1.312,-1.308,-1.256,2
-0.216,-1.094,-0.825,-0.791,2
-0.134,-1.195,-1.034,-0.959,2
-0.154,-1.054,-0.982,-0.976,2
-0.327,-0.954,-0.740,-0.627,2
-0.046,-1.715,-1.440,-1.356,2
-0.018,-1.605,-2.117,-2.050,2
-0.171,-0.999,-0.985,-0.917,2
-0.041,-1.631,-1.486,-1.481,2
-0.083,-1.316,-1.214,-1.188,2
-0.076,-1.177,-1.298,-1.361,2
-0.042,-1.547,-1.657,-1.372,2
-0.076,-0.874,-1.878,-1.887,2
-0.018,-1.632,-1.942,-2.167,2
-0.025,-1.480,-1.904,-1.980,2
-0.050,-1.490,-1.474,-1.362,2
-0.182,-0.957,-0.904,-0.969,3
-0.059,-1.398,-1.399,-1.328,3
-0.104,-1.281,-1.156,-1.039,3
-0.105,-1.188,-1.198,-1.061,3
-0.026,-1.588,-1.780,-1.805,3
-0.036,-1.360,-1.684,-1.813,3
-0.102,-1.266,-1.084,-1.139,3
-0.069,-1.257,-1.297,-1.381,3
-0.088,-1.021,-1.356,-1.358,3
-0.080,-1.373,-1.230,-1.171,3
-0.055,-1.493,-1.362,-1.372,3
-0.039,-1.481,-1.692,-1.477,3
-0.050,-1.361,-1.496,-1.477,3
-0.021,-1.586,-1.981,-1.978,3
-0.271,-0.969,-1.126,-0.550,5
-0.132,-1.133,-1.261,-0.875,5
-0.255,-1.066,-1.131,-0.546,5
-0.242,-1.044,-1.416,-0.526,5
